@id,@lat,@lon,name,leisure,sport
4430347,51.1645417,0.8945348,,pitch,tennis
4437823,51.4475201,-0.1772543,Magdalen Park Lawn Tennis Club,sports_centre,tennis
4452077,53.9017026,-1.6242872,,pitch,tennis
4476825,53.9025005,-1.7057302,,pitch,tennis
4489153,51.2795613,1.0651789,,pitch,tennis
4494815,53.7756588,-2.2313332,,pitch,tennis
4564534,50.8180741,-0.1018027,,pitch,tennis
4566326,51.5250542,-0.0533260,,pitch,tennis
4588474,52.1460209,-1.0866789,,pitch,tennis
4620087,52.2413049,-0.9818490,,pitch,tennis
4689541,52.1459927,-1.0864646,,pitch,tennis
4796174,51.8136167,-0.3597643,Harpenden Lawn Tennis Club,sports_centre,tennis
4808837,51.5555422,-0.3446611,,pitch,tennis
4808840,51.5558829,-0.3445318,,pitch,tennis
4808841,51.5563423,-0.3443824,,pitch,tennis
4857779,51.5494880,-0.3308642,,pitch,tennis
4902550,52.1050595,-1.1806996,,pitch,tennis
4918747,51.2142055,0.2866994,,pitch,tennis
4918952,51.2016370,0.2659531,,pitch,tennis
4940726,51.5125533,-0.3433647,,pitch,tennis
4940789,51.5128309,-0.3429644,,pitch,tennis
4941298,51.4437645,-0.3181656,,pitch,tennis
4946717,51.4440444,-0.0875155,,pitch,tennis
4946722,51.4444407,-0.0873431,,pitch,tennis
4960831,51.4211689,-0.0697650,,pitch,tennis
4965225,51.4442755,-0.0820127,,pitch,tennis
4966974,53.4052728,-2.2282209,Didsbury Lawn Tennis Club,sports_centre,tennis
4972022,53.4100466,-2.2298256,,pitch,tennis
4975112,53.2440565,-2.6203107,,pitch,tennis
4982064,51.5359059,-0.2118364,Queens Park Tennis Courts,,tennis
5012638,51.4512459,-0.1084473,,pitch,tennis
5012639,51.4509935,-0.1089826,,pitch,tennis
5012640,51.4507313,-0.1085453,,pitch,tennis
5015046,51.4545505,-0.0870548,North Dulwich Lawn Tennis Club,sports_centre,tennis
5021721,51.3630080,-0.1600902,,pitch,tennis
5035391,51.5729763,-0.3311647,Beckwith Courts,pitch,tennis
5035392,51.5725651,-0.3306710,Beckwith Courts,pitch,tennis
5035441,51.5661879,-0.3360985,,pitch,tennis
5052363,51.4358299,-0.2029745,,pitch,tennis
5052369,51.4363764,-0.2037812,,pitch,tennis
5053541,52.1414513,-1.0059750,,pitch,tennis
5081765,51.4811746,-0.2632410,Chiswick Tennis Club,sports_centre,tennis
5111753,51.4575897,-0.0848245,,pitch,tennis
5120208,55.9432620,-3.2792845,Corstorphine Tennis Club,pitch,tennis
5130997,55.9150133,-3.2508757,Thistle Lawn Tennis Club,,tennis
5175224,53.3753860,-2.3331007,Hale Lawn Tennis Club,sports_centre,tennis
5202433,52.1340314,-0.4494476,,pitch,tennis
5211987,51.5265608,-0.3410423,,pitch,tennis
5217116,51.4668132,-0.3319924,,pitch,tennis
5228081,51.4142297,-0.2371187,Cottenham Park Tennis Courts,,tennis
5318791,51.4881145,-0.1588221,,pitch,tennis
5984151,51.6466096,-0.1826621,,pitch,tennis
5984640,51.6289619,-0.1686548,Oakleigh Park Lawn Tennis and Squash Club,sports_centre,tennis
6167499,52.5801816,-1.8968738,,pitch,tennis
6280118,52.1394141,-0.5062435,,pitch,tennis
6421279,51.2466791,-0.1681733,Redhill Tennis Club,sports_centre,tennis
7833680,53.3981863,-2.3338187,,pitch,tennis
7986176,52.0812381,0.4444069,,pitch,tennis
7986184,52.0814982,0.4448350,,pitch,tennis
8104212,51.4293249,-0.0490263,,pitch,tennis
8108124,53.1755503,-2.8955635,Chester Lawn Tennis Club,pitch,tennis
8681534,51.6463388,-0.0755839,,pitch,tennis
8681680,51.6506950,-0.0866603,,pitch,tennis
8685823,51.4861981,-0.3783069,,,tennis
8879804,51.4745174,-0.0010862,Greenwich Park Tennis Courts,,tennis
8879805,51.4729095,-0.0010979,,pitch,tennis
9060653,51.6614017,-0.1009251,Enfield Lawn Tennis Club,sports_centre,tennis
9066487,51.6501994,-0.0687696,,pitch,tennis
9245877,51.4770302,-2.5995902,Kings Lawn Tennis Club,,tennis
9640240,51.6133698,-0.2390922,,pitch,tennis
